URL,IP Address,User Agent,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Apocalypse,,,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Arabian%20Nights,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Portal,199.89.193.6,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Portal%20Second%20Age,,,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Portal%20Three%20Kingdoms,,,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Duel%20Decks%20Sorin%20vs%20Tibalt,,,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Duel%20Decks%20Speed%20vs%20Cunning,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Duel%20Decks%20Venser%20vs%20Koth,204.152.114.229,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36",,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Duel%20Decks%20Zendikar%20vs%20Eldrazi,,,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Duels%20of%20the%20Planeswalkers,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Fallen%20Empires,199.89.193.5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.1 Safari/605.1.15",,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Fate%20Reforged,,,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Fifth%20Dawn,,,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Future%20Sight,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Duel%20Decks%20Garruk%20vs%20Liliana,204.152.114.253,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0),,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Duel%20Decks%20Heroes%20vs%20Monsters,,,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Game%20Night,,,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Gatecrash,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Global%20Series%20Jiang%20Yanggu%20vs%20Mu%20Yanling,204.152.114.227,'Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1),,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Guild%20Kit,,,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Guildpact,,,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Guilds%20of%20Ravnica,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Morningtide,199.89.192.78,"Mozilla/5.0 (Windows NT 5.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36",,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Mythic%20Edition,,,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Planar%20Chaos,,,,,,,,,,,,,
http://www.starcitygames.com/catalog/category/Planechase%202009%20Edition,,,,,,,,,,,,,
